# DSID	Process						        xsec	        k	eff		unc
361000	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ0			78420000000	1.	0.97563		1.
361001	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1			78420000000	1.	0.024819	1.
361002	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2			2433400000	1.	0.010040	1.
361003	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3			26454000	1.	0.011798	1.
361004	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4			254640		1.	0.013440	1.
361005	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5			4553.6		1.	0.014577	1.
361006	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6			257.52		1.	0.010018	1.
361007	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7			016.214		1.	0.011120	1.
361008	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8			0.62505		1.	0.010331	1.
361009	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ9			0.01964		1.	0.012110	1.
361010	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ10			0.0011961	1.	0.0058921	1.
361011	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ11			0.00004226	1.	0.0026753	1.
361012	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12			0.0000010367	1.	0.00042502	1.

361020	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ0W			78420000000	1.	1.024000	1.
361021	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ1W			78420000000	1.	0.00067198	1.
361022	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ2W			2433200000	1.	0.00033264	1.
361023	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ3W			26454000	1.	0.00031953	1.
361024	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ4W			254630		1.	0.00053009	1.
361025	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ5W			4553.5		1.	0.00092325	1.
361026	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ6W			257.53		1.	0.00094016	1.
361027	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ7W			016.215		1.	0.00039282	1.
361028	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ8W			0.62502		1.	0.010162	1.
361029	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ9W			0.019639	1.	0.012054	1.
361030	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ10W			0.0011962	1.	0.0058935	1.
361031	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ11W			0.000042258	1.	0.0027015	1.
361032	Pythia8EvtGen_A14NNPDF23LO_jetjet_JZ12W			0.0000010367	1.	0.00042502	1.
